n=80
sample_size=100000
training_size=50000
learning_rate=0.0005
config=ModelConfig(block_size=17, vocab_size=33, n_layer=4, n_embd=64, n_head=4)
max_iterations=100
stacking=5
training_steps=300000
training_batch_size=128
version='c87c00b'
gen           :  min score mean score  max score autocorrel    H-ratio   H-number tally / H-tally
0   sample    :   3.617722  13.504662 155.194458   0.000575   0.000000 0          {0: 100000} {}
0   improved  :   0.276413   2.606565   5.603043  -0.005925   0.000000 0          {0: 100000} {}
0   selected  :   0.276413   2.152877   2.579010   0.005950   0.000000 0          {0: 50000} {}
1   sample    :   0.254013   3.355216  69.069893   0.004125   0.000000 0          {1: 99992} {}
1   improved  :   0.000000   1.865814   4.001343   0.001975   0.000007 1          {1: 99992, 0: 50000} {1: 1}
1   selected  :   0.000000   1.423777   1.682755   0.001450   0.000020 1          {1: 25959, 0: 24041} {1: 1}
2   sample    :   0.151215   2.839756  70.174294   0.001950   0.000000 1          {2: 99931} {}
2   improved  :   0.000000   1.661279   4.254822   0.001600   0.000040 6          {2: 99338, 1: 25959, 0: 24041} {1: 4, 2: 1, 0: 1}
2   selected  :   0.000000   1.207510   1.462646   0.000925   0.000120 6          {1: 17254, 2: 17171, 0: 15575} {1: 4, 2: 1, 0: 1}
3   sample    :   0.212555   2.723514  70.264526  -0.004850   0.000000 6          {3: 99861} {}
3   improved  :   0.000000   1.581761   4.013733  -0.006525   0.000067 10         {3: 98843, 1: 17254, 2: 16977, 0: 15575} {2: 4, 1: 4, 3: 1, 0: 1}
3   selected  :   0.000000   1.090666   1.352280  -0.006625   0.000200 10         {2: 13095, 1: 12923, 3: 12605, 0: 11377} {2: 4, 1: 4, 3: 1, 0: 1}
4   sample    :   0.161484   2.707992  70.545097  -0.004900   0.000000 10         {4: 99831} {}
4   improved  :   0.000000   1.538729   4.144684   0.001875   0.000088 13         {4: 98729, 2: 13045, 1: 12923, 3: 12264, 0: 11377} {2: 5, 1: 5, 3: 2, 0: 1}
4   selected  :   0.000000   1.007605   1.277679  -0.002000   0.000260 13         {2: 10673, 1: 10182, 3: 10181, 4: 10052, 0: 8912} {2: 5, 1: 5, 3: 2, 0: 1}
5   sample    :   0.000000   2.618501 129.468643   0.006075   0.000010 14         {5: 99791} {5: 1}
5   improved  :   0.000000   1.493260   4.557526  -0.002525   0.000135 20         {5: 98631, 2: 10666, 1: 10182, 3: 10109, 4: 9667, 0: 8912} {2: 5, 1: 5, 5: 4, 3: 3, 4: 2, 0: 1}
5   selected  :   0.000000   0.932727   1.215225   0.001650   0.000400 20         {5: 9138, 2: 8820, 3: 8555, 4: 8256, 1: 8206, 0: 7025} {2: 5, 1: 5, 5: 4, 3: 3, 4: 2, 0: 1}
6   sample    :   0.100372   2.576837  69.454941   0.006750   0.000000 20         {6: 99794} {}
6   improved  :   0.000000   1.447627   3.959503   0.008125   0.000162 24         {6: 98529, 2: 8818, 5: 8709, 3: 8540, 1: 8206, 4: 8179, 0: 7025} {1: 5, 2: 5, 5: 4, 6: 3, 4: 3, 3: 3, 0: 1}
6   selected  :   0.000000   0.855777   1.155075   0.000375   0.000480 24         {6: 9067, 5: 7606, 2: 7210, 3: 7117, 4: 7014, 1: 6507, 0: 5479} {1: 5, 2: 5, 5: 4, 6: 3, 4: 3, 3: 3, 0: 1}
7   sample    :   0.100372   2.523600  73.157478  -0.003600   0.000000 24         {7: 99780} {}
7   improved  :   0.000000   1.386946   3.996887   0.000750   0.000237 35         {7: 98543, 6: 8563, 5: 7512, 2: 7210, 3: 7114, 4: 7002, 1: 6507, 0: 5479} {7: 7, 6: 7, 2: 5, 1: 5, 5: 4, 4: 3, 3: 3, 0: 1}
7   selected  :   0.000000   0.747900   1.069824   0.003400   0.000700 35         {7: 11714, 6: 7334, 5: 6178, 4: 5576, 3: 5409, 2: 5285, 1: 4642, 0: 3862} {7: 7, 6: 7, 2: 5, 1: 5, 5: 4, 4: 3, 3: 3, 0: 1}
8   sample    :   0.050064   2.386484  72.126457  -0.001100   0.000000 35         {8: 99738} {}
8   improved  :   0.000000   1.254534   4.050323   0.000500   0.000365 54         {8: 98494, 7: 11266, 6: 7257, 5: 6157, 4: 5576, 3: 5409, 2: 5285, 1: 4642, 0: 3862} {7: 13, 8: 11, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
8   selected  :   0.000000   0.583553   0.891754   0.004800   0.001080 54         {8: 18023, 7: 9201, 6: 5276, 5: 4101, 4: 3401, 3: 3082, 2: 2849, 1: 2262, 0: 1805} {7: 13, 8: 11, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
9   sample    :   0.000000   1.842707  71.796066   0.001100   0.000040 58         {9: 99619} {9: 4}
9   improved  :   0.000000   0.932720   3.854935  -0.005850   0.000725 107        {9: 98059, 8: 17557, 7: 9131, 6: 5268, 5: 4101, 4: 3401, 3: 3082, 2: 2849, 1: 2262, 0: 1805} {9: 40, 8: 21, 7: 16, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
9   selected  :   0.000000   0.405389   0.569550  -0.002375   0.002140 107        {9: 24052, 8: 10877, 7: 5220, 6: 2710, 5: 1972, 4: 1445, 3: 1185, 2: 1127, 1: 788, 0: 624} {9: 40, 8: 21, 7: 16, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
10  sample    :   0.000000   1.332632  70.101082   0.002225   0.000040 111        {10: 99442} {10: 4}
10  improved  :   0.000000   0.635732   3.874481   0.000625   0.001332 196        {10: 97488, 9: 23745, 8: 10825, 7: 5213, 6: 2709, 5: 1972, 4: 1444, 3: 1185, 2: 1127, 1: 788, 0: 624} {10: 65, 9: 62, 8: 22, 7: 17, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
10  selected  :   0.000000   0.310851   0.425034  -0.001000   0.003920 196        {10: 22179, 9: 13713, 8: 5921, 7: 2871, 6: 1481, 5: 1097, 4: 758, 3: 630, 2: 590, 1: 414, 0: 346} {10: 65, 9: 62, 8: 22, 7: 17, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
11  sample    :   0.000000   1.165895  70.372925  -0.001500   0.000232 219        {11: 99246} {11: 23}
11  improved  :   0.000000   0.548285   4.271362  -0.001900   0.002187 321        {11: 96999, 10: 21952, 9: 13695, 8: 5918, 7: 2870, 6: 1481, 5: 1096, 4: 758, 3: 630, 2: 590, 1: 414, 0: 346} {11: 95, 10: 92, 9: 65, 8: 22, 7: 17, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
11  selected  :   0.000000   0.263956   0.339096   0.003350   0.006420 321        {11: 17396, 10: 14872, 9: 8955, 8: 3779, 7: 1780, 6: 884, 5: 666, 4: 474, 3: 379, 2: 359, 1: 263, 0: 193} {11: 95, 10: 92, 9: 65, 8: 22, 7: 17, 6: 9, 1: 5, 2: 5, 5: 4, 3: 3, 4: 3, 0: 1}
12  sample    :   0.000000   1.042822  13.314041  -0.004100   0.000242 345        {12: 99121} {12: 24}
